repo_name,category,file_path,line_number,keyword,debt_type,sdlc_phase,line_content
MagicStack/uvloop,Non-ML Control,tests/test_aiohttp.py,58,BUG,Defect Debt,P3_Model_Development,raise unittest.SkipTest('bug in aiohttp: #7675')
MagicStack/uvloop,Non-ML Control,tests/test_base.py,832,NOQA,Test Debt,P3_Model_Development,cb = lambda: False  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_base.py,844,NOQA,Test Debt,P3_Model_Development,cb = lambda: False  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_base.py,945,NOQA,Test Debt,P3_Model_Development,cb = lambda: False  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_context.py,253,NOQA,Test Debt,P3_Model_Development,cvar.set(tracked)  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_context.py,291,TEMP,Design Debt,P3_Model_Development,tmp_dir = tempfile.TemporaryDirectory()
MagicStack/uvloop,Non-ML Control,tests/test_context.py,410,BUG,Defect Debt,P3_Model_Development,# this seems to be a bug in asyncio
MagicStack/uvloop,Non-ML Control,tests/test_context.py,437,BUG,Defect Debt,P3_Model_Development,raise unittest.SkipTest('this seems to be a bug in asyncio')
MagicStack/uvloop,Non-ML Control,tests/test_context.py,456,TODO,Requirement Debt,P3_Model_Development,# TODO(fantix): fix for 3.11
MagicStack/uvloop,Non-ML Control,tests/test_context.py,558,BUG,Defect Debt,P3_Model_Development,# asyncio bug
MagicStack/uvloop,Non-ML Control,tests/test_context.py,586,BUG,Defect Debt,P3_Model_Development,raise unittest.SkipTest('this seems to be a bug in asyncio')
MagicStack/uvloop,Non-ML Control,tests/test_context.py,716,BUG,Defect Debt,P3_Model_Development,# bug in asyncio
MagicStack/uvloop,Non-ML Control,tests/test_context.py,721,BUG,Defect Debt,P3_Model_Development,# bug in asyncio
MagicStack/uvloop,Non-ML Control,tests/test_context.py,757,BUG,Defect Debt,P3_Model_Development,# bug in asyncio
MagicStack/uvloop,Non-ML Control,tests/test_cython.py,33,TODO,Requirement Debt,P3_Model_Development,# TODO: Fix Cython to not reset __name__/__qualname__ to None
MagicStack/uvloop,Non-ML Control,tests/test_fs_event.py,15,TEMP,Design Debt,P3_Model_Development,tempfile.TemporaryDirectory()
MagicStack/uvloop,Non-ML Control,tests/test_process.py,352,TEMP,Design Debt,P3_Model_Development,"with tempfile.TemporaryFile() as inherited, \"
MagicStack/uvloop,Non-ML Control,tests/test_process.py,353,TEMP,Design Debt,P3_Model_Development,tempfile.TemporaryFile() as non_inherited:
MagicStack/uvloop,Non-ML Control,tests/test_process.py,453,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile('w') as stdout:
MagicStack/uvloop,Non-ML Control,tests/test_process.py,454,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile('w') as stderr:
MagicStack/uvloop,Non-ML Control,tests/test_process.py,547,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryFile('w+b') as new_stdout:
MagicStack/uvloop,Non-ML Control,tests/test_process.py,568,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryFile('w+b') as new_stderr:
MagicStack/uvloop,Non-ML Control,tests/test_process_spawning.py,65,BUG,Defect Debt,P3_Model_Development,# -> this call will freeze whole loop in case of bug
MagicStack/uvloop,Non-ML Control,tests/test_regr1.py,69,BUG,Defect Debt,P3_Model_Development,Original code to reproduce the bug is by Jim Fulton.
MagicStack/uvloop,Non-ML Control,tests/test_sourcecode.py,20,NOQA,Test Debt,P3_Model_Development,import flake8  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_sourcecode.py,47,NOQA,Test Debt,P3_Model_Development,import mypy  # NoQA
MagicStack/uvloop,Non-ML Control,tests/test_tcp.py,1920,XXX,Design Debt,P3_Model_Development,# XXX: We assume user stores the transport in protocol
MagicStack/uvloop,Non-ML Control,tests/test_tcp.py,2776,TODO,Requirement Debt,P3_Model_Development,# TODO: started hanging and needs to be diagnosed.
MagicStack/uvloop,Non-ML Control,tests/test_testbase.py,18,NOQA,Test Debt,P3_Model_Development,def test_a(self):  # NOQA
MagicStack/uvloop,Non-ML Control,tests/test_udp.py,81,XXX,Design Debt,P3_Model_Development,transport.sendto(b'xxx')
MagicStack/uvloop,Non-ML Control,tests/test_udp.py,91,XXX,Design Debt,P3_Model_Development,"transport.sendto(b'xxx', remote_addr)"
MagicStack/uvloop,Non-ML Control,tests/test_udp.py,107,XXX,Design Debt,P3_Model_Development,"transport.sendto(b""xxx"", bad_addr)"
MagicStack/uvloop,Non-ML Control,tests/test_udp.py,117,XXX,Design Debt,P3_Model_Development,"transport.sendto(b""xxx"", bad_addr)"
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,63,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,114,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,178,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,299,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile() as tmp:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,578,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile() as file:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,617,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,714,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,tests/test_unix.py,739,XXX,Design Debt,P3_Model_Development,# XXX: figure out why this fails on macOS on Travis
MagicStack/uvloop,Non-ML Control,uvloop/__init__.py,6,NOQA,Test Debt,P3_Model_Development,from . import includes as __includes  # NOQA
MagicStack/uvloop,Non-ML Control,uvloop/__init__.py,7,NOQA,Test Debt,P3_Model_Development,from .loop import Loop as __BaseLoop  # NOQA
MagicStack/uvloop,Non-ML Control,uvloop/__init__.py,8,NOQA,Test Debt,P3_Model_Development,from ._version import __version__  # NOQA
MagicStack/uvloop,Non-ML Control,uvloop/_testbase.py,169,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile() as tmp:
MagicStack/uvloop,Non-ML Control,uvloop/_testbase.py,215,TEMP,Design Debt,P3_Model_Development,with tempfile.TemporaryDirectory() as td:
MagicStack/uvloop,Non-ML Control,uvloop/_testbase.py,291,TODO,Requirement Debt,P3_Model_Development,# TODO This warning has to be fixed in asyncio.
facebookresearch/Detectron,Computer Vision,tools/convert_cityscapes_to_coco.py,54,TODO,Requirement Debt,P3_Model_Development,"combine with other labels from original COCO that will be a TODO."""""""
facebookresearch/Detectron,Computer Vision,tools/convert_pkl_to_pb.py,37,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2)
facebookresearch/Detectron,Computer Vision,tools/infer.py,31,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2)
facebookresearch/Detectron,Computer Vision,tools/infer_simple.py,29,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2)
facebookresearch/Detectron,Computer Vision,tools/test_net.py,26,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2)
facebookresearch/Detectron,Computer Vision,tools/train_net.py,26,BUG,Defect Debt,P3_Model_Development,import cv2  # NOQA (Must import before importing caffe2 due to bug in cv2)
facebookresearch/Detectron,Computer Vision,detectron/core/config.py,1133,NOQA,Test Debt,P3_Model_Development,"file_types = [file, io.IOBase] if six.PY2 else [io.IOBase]  # noqa false positive"
facebookresearch/Detectron,Computer Vision,detectron/modeling/ResNet.py,132,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): This contains Fast R-CNN specific config options making it non-
facebookresearch/Detectron,Computer Vision,detectron/modeling/ResNet.py,321,BUG,Defect Debt,P3_Model_Development,# NB: for now this AffineChannel op cannot be in-place due to a bug in C2
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,94,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold into build_generic_detection_model
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,99,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold into build_generic_detection_model
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,325,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold this function into build_generic_detection_model
facebookresearch/Detectron,Computer Vision,detectron/modeling/model_builder.py,344,TODO,Requirement Debt,P3_Model_Development,# TODO(rbg): fold this function into build_generic_detection_model
nomic-ai/nomic,NLP,nomic/data_operations.py,721,TODO,Requirement Debt,P3_Model_Development,# TODO: Is size of the embedding files (several hundreds of MBs) going to be a problem here?
nomic-ai/nomic,NLP,nomic/data_operations.py,1048,TODO,Requirement Debt,P3_Model_Development,# TODO: fall back on something more reliable here
nomic-ai/nomic,NLP,nomic/dataset.py,361,TEMP,Design Debt,P1_Data_Collection,# Ugly temporary measures
nomic-ai/nomic,NLP,nomic/dataset.py,750,TODO,Requirement Debt,P1_Data_Collection,# TODO: add support for other datastreams
nomic-ai/nomic,NLP,nomic/dataset.py,1556,TODO,Requirement Debt,P1_Data_Collection,# TODO: validate embedding size.
nomic-ai/nomic,NLP,nomic/embed.py,285,TODO,Requirement Debt,P3_Model_Development,# TODO(jared): make this more accurate
nomic-ai/nomic,NLP,nomic/utils.py,192,TODO,Requirement Debt,P3_Model_Development,# TODO: setting to 10k so it doesn't take too long?
open-mmlab/mmdetection3d,Computer Vision,setup.py,108,NOQA,Test Debt,P4_Build_Packaging,version = rest  # NOQA
open-mmlab/mmdetection3d,Computer Vision,.dev_scripts/benchmark_options.py,5,NOQA,Test Debt,P3_Model_Development,"""pip install -U git+https://github.com/NVIDIA/MinkowskiEngine -v --no-deps --install-option='--blas_include_dirs=/opt/conda/include' --install-option='--blas=openblas'""  # noqa"
open-mmlab/mmdetection3d,Computer Vision,.dev_scripts/benchmark_options.py,9,NOQA,Test Debt,P3_Model_Development,'configs/pointpillars/pointpillars_hv_secfpn_sbn-all_16xb2-2x_waymoD5-3d-3class.py': # noqa
open-mmlab/mmdetection3d,Computer Vision,.dev_scripts/gather_models.py,46,TODO,Requirement Debt,P3_Model_Development,# TODO: add support for lyft dataset
open-mmlab/mmdetection3d,Computer Vision,demo/mono_det_demo.py,84,TODO,Requirement Debt,P3_Model_Development,# TODO: Support inference of point cloud numpy file.
open-mmlab/mmdetection3d,Computer Vision,demo/multi_modality_demo.py,87,TODO,Requirement Debt,P3_Model_Development,# TODO: Support inference of point cloud numpy file.
open-mmlab/mmdetection3d,Computer Vision,demo/pcd_demo.py,76,TODO,Requirement Debt,P3_Model_Development,# TODO: Support inference of point cloud numpy file.
open-mmlab/mmdetection3d,Computer Vision,demo/pcd_seg_demo.py,71,TODO,Requirement Debt,P3_Model_Development,# TODO: Support inference of point cloud numpy file.
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,37,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own runner
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,45,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own runner
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,49,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own loop
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,63,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own data sampler
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,88,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own optimizer
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,94,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own optimizer
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,100,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own optimizer
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,106,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own scheduler
open-mmlab/mmdetection3d,Computer Vision,mmdet3d/registry.py,134,TODO,Requirement Debt,P3_Model_Development,# TODO: update the location when mmdet3d has its own log processor
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,13,TODO,Requirement Debt,P3_Model_Development,# TODO: support fuse_conv_bn and format_only
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,48,XXX,Design Debt,P3_Model_Development,'in xxx=yyy format will be merged into config file. If the value to '
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,105,TODO,Requirement Debt,P3_Model_Development,# TODO: We will unify the ceph support approach with other OpenMMLab repos
open-mmlab/mmdetection3d,Computer Vision,tools/test.py,129,TODO,Requirement Debt,P3_Model_Development,# TODO: Support tta for 3D detection
open-mmlab/mmdetection3d,Computer Vision,tools/train.py,49,XXX,Design Debt,P3_Model_Development,'in xxx=yyy format will be merged into config file. If the value to '
open-mmlab/mmdetection3d,Computer Vision,tools/train.py,75,TODO,Requirement Debt,P3_Model_Development,# TODO: We will unify the ceph support approach with other OpenMMLab repos
open-mmlab/mmdetection3d,Computer Vision,configs/_base_/default_runtime.py,23,TODO,Requirement Debt,P3_Model_Development,# TODO: support auto scaling lr
open-mmlab/mmdetection3d,Computer Vision,configs/centerpoint/centerpoint_voxel0075_second_secfpn_head-dcn-circlenms_8xb4-flip-tta-cyclic-20e_nus-3d.py,1,NOQA,Test Debt,P3_Model_Development,_base_ = './centerpoint_voxel0075_second_secfpn_head-dcn-circlenms_8xb4-cyclic-20e_nus-3d.py'  # noqa: E501
mistralai/mistral-common,NLP,tests/test_audio.py,43,TEMP,Design Debt,P3_Model_Development,"with tempfile.NamedTemporaryFile(suffix="".wav"") as tmp:"
mistralai/mistral-common,NLP,tests/test_audio.py,77,TEMP,Design Debt,P3_Model_Development,"with tempfile.NamedTemporaryFile(suffix="".wav"") as tmp:"
mistralai/mistral-common,NLP,tests/test_converters.py,638,NOQA,Test Debt,P3_Model_Development,"""description"": ""The temperature unit to use. Infer this from the user's location."",  # noqa: E501"
mistralai/mistral-common,NLP,tests/test_converters.py,745,NOQA,Test Debt,P3_Model_Development,"""description"": ""The temperature unit to use. Infer this from the user's location."",  # noqa: E501"
mistralai/mistral-common,NLP,tests/test_tokenize_v3.py,3,TEMP,Design Debt,P3_Model_Development,from tempfile import NamedTemporaryFile
mistralai/mistral-common,NLP,tests/test_tokenize_v3.py,44,TEMP,Design Debt,P3_Model_Development,"with NamedTemporaryFile(suffix="".model."" + suffix) as f:"
mistralai/mistral-common,NLP,tests/test_tokenize_v3.py,47,TEMP,Design Debt,P3_Model_Development,"with NamedTemporaryFile(suffix="".model"") as f:"
mistralai/mistral-common,NLP,tests/test_tokenize_v3.py,51,TEMP,Design Debt,P3_Model_Development,"with NamedTemporaryFile(suffix="".model.vx"") as f:"
mistralai/mistral-common,NLP,tests/test_tokenize_v3.py,449,NOQA,Test Debt,P3_Model_Development,"f'[TOOL_CALLS]{special_ws}[{{""name"":{ws}""b"",{ws}""arguments"":{ws}{{}},{ws}""id"":{ws}""0""}}]</s>[TOOL_RESULTS]{special_ws}{{""content"":{ws}""d"",{ws}""call_id"":{ws}""0""}}[/TOOL_RESULTS]'  # noqa: E501"
mistralai/mistral-common,NLP,tests/test_tokenizer_v7.py,103,NOQA,Test Debt,P3_Model_Development,"== ""<s>[INST][IMG][IMG][IMG_BREAK][IMG][IMG][IMG_END]▁a[/INST]▁b</s>[TOOL_RESULTS]▁b[TOOL_CONTENT]▁f[/TOOL_RESULTS]""  # noqa"
mistralai/mistral-common,NLP,tests/test_tokenizer_v7.py,248,NOQA,Test Debt,P3_Model_Development,"'<s>[SYSTEM_PROMPT]▁a[/SYSTEM_PROMPT][AVAILABLE_TOOLS]▁[{""type"":▁""function"",▁""function"":▁{""name"":▁""t"",▁""description"":▁"""",▁""parameters"":▁{""type"":▁""object"",▁""properties"":▁{""g"":▁{""type"":▁""string""},▁""h"":▁"
mistralai/mistral-common,NLP,tests/test_tokenizer_v7.py,273,NOQA,Test Debt,P3_Model_Development,"'<s>[SYSTEM_PROMPT]▁a[/SYSTEM_PROMPT][INST]▁a[/INST][AVAILABLE_TOOLS]▁[{""type"":▁""function"",▁""function"":▁{""name"":▁""t"",▁""description"":▁"""",▁""parameters"":▁{""type"":▁""object"",▁""properties"":▁{""g"":▁{""type"":▁"""
mistralai/mistral-common,NLP,tests/test_tokenizer_v7.py,340,NOQA,Test Debt,P3_Model_Development,"== '<s>[SYSTEM_PROMPT]▁a[/SYSTEM_PROMPT][AVAILABLE_TOOLS]▁[{""type"":▁""function"",▁""function"":▁{""name"":▁""t"",▁""description"":▁"""",▁""parameters"":▁{""type"":▁""object"",▁""properties"":▁{""g"":▁{""type"":▁""string""},▁""h"
mistralai/mistral-common,NLP,tests/test_tokenizer_v7_audio.py,100,TEMP,Design Debt,P3_Model_Development,"with tempfile.NamedTemporaryFile(suffix="".wav"", delete=False) as f:"
mistralai/mistral-common,NLP,tests/test_utils.py,16,TEMP,Design Debt,P3_Model_Development,def _create_temporary_hf_model_cache(repo_id: str) -> Path:
mistralai/mistral-common,NLP,tests/test_utils.py,34,TEMP,Design Debt,P3_Model_Development,"hf_cache = _create_temporary_hf_model_cache(""mistralai/Mistral-7B-v0.1"")"
mistralai/mistral-common,NLP,tests/test_utils.py,151,TEMP,Design Debt,P3_Model_Development,"hf_cache = _create_temporary_hf_model_cache(""mistralai/Mistral-7B-v0.1"")"
mistralai/mistral-common,NLP,src/mistral_common/imports.py,40,NOQA,Test Debt,P3_Model_Development,import cv2  # noqa: F401
mistralai/mistral-common,NLP,src/mistral_common/multimodal.py,1,TODO,Requirement Debt,P3_Model_Development,# This file is deprecated. TODO(Patrick) - as soon as vllm & transformers have adapted
mistralai/mistral-common,NLP,src/mistral_common/multimodal.py,3,NOQA,Test Debt,P3_Model_Development,from mistral_common.image import *  # noqa: F403
openai/safety-gym,AutoML/RL,safety_gym/random_agent.py,5,NOQA,Test Debt,P3_Model_Development,import safety_gym  # noqa
openai/safety-gym,AutoML/RL,safety_gym/random_agent.py,6,NOQA,Test Debt,P3_Model_Development,import numpy as np  # noqa
openai/safety-gym,AutoML/RL,safety_gym/envs/engine.py,121,TODO,Requirement Debt,P3_Model_Development,# TODO: randomize starting joint positions
openai/safety-gym,AutoML/RL,safety_gym/envs/engine.py,438,TODO,Requirement Debt,P3_Model_Development,# TODO: comparative study of the performance with and without this feature.
openai/safety-gym,AutoML/RL,safety_gym/envs/engine.py,641,TODO,Requirement Debt,P3_Model_Development,# TODO: parse into only the pieces we want/need
