repo_name,category,file_path,line_number,keyword,debt_type,sdlc_phase,line_content,debt_category,severity,rationale,is_false_positive,original_index
mongodb/motor,Non-ML Control,motor/web.py,165,BUG,Defect Debt,P3_Model_Development,"# Needed until fix for Tornado bug 751 is released, see",Defect Debt,4,"The code is a temporary workaround for a known bug in Tornado, which could lead to unexpected behavior or crashes.",False,0
scrapy/scrapy,Non-ML Control,conftest.py,54,NOQA,Test Debt,P3_Model_Development,import httpx  # noqa: F401,Code Debt,2,"The import statement is commented out, indicating unnecessary code.",False,1
python/mypy,Non-ML Control,mypy/checker.py,2013,TODO,Requirement Debt,P3_Model_Development,# TODO: Deal with attributes of TupleType etc.,Code Debt,3,"The TODO comment indicates a need for additional code to handle specific types, which is a code debt issue.",False,2
astral-sh/ruff,Non-ML Control,crates/ruff_benchmark/resources/tomllib/_parser.py,164,NOQA,Test Debt,P3_Model_Development,"def set(self, key: Key, flag: int, *, recursive: bool) -> None:  # noqa: A003",Code Debt,2,"The use of the noqa comment is a code debt as it indicates a potential naming conflict, but is being suppressed.",False,3
pydantic/pydantic,Non-ML Control,pydantic/type_adapter.py,289,TODO,Requirement Debt,P3_Model_Development,# TODO: we don't go through the rebuild logic here directly because we don't want,Code Debt,3,"The TODO comment indicates a potential shortcut or workaround in the code, which may lead to technical debt.",False,4
sphinx-doc/sphinx,Non-ML Control,sphinx/theming.py,514,NOQA,Test Debt,P3_Model_Development,print('Usage: python -m sphinx.theming conf_to_toml <theme path>')  # NoQA: T201,Code Debt,2,"The comment is suppressing a PEP 8 style check, indicating a potential code quality issue.",False,5
readthedocs/readthedocs.org,Non-ML Control,readthedocs/aws/security_token_service.py,50,TEMP,Design Debt,P3_Model_Development,"""""""Subclass of AWSTemporaryCredentials to include S3 specific fields.""""""",Code Debt,3,"The use of the TEMP keyword suggests a temporary or workaround solution, which may not be ideal for a production-ready codebase.",False,6
python/mypy,Non-ML Control,mypy/checkexpr.py,1409,TODO,Requirement Debt,P3_Model_Development,# TODO: can we handle more general cases?,Code Debt,3,"The TODO comment suggests a potential improvement to the code's functionality, indicating a need for refactoring or extension.",False,7
amoffat/sh,Non-ML Control,tests/sh_test.py,613,TEMP,Design Debt,P3_Model_Development,# tempfile.TemporaryFile()s,Code Debt,3,"The use of # tempfile.TemporaryFile()s suggests a workaround for a potential issue with file management, indicating a need for refactoring.",False,8
python/mypy,Non-ML Control,mypy/checkexpr.py,6465,TODO,Requirement Debt,P3_Model_Development,# TODO: should this ever be called (see e.g. mypyc visitor)?,Design Debt,3,"The TODO comment suggests a potential design issue with the mypyc visitor, indicating a need for refactoring or reevaluation of the code's architecture.",False,9
astral-sh/ruff,Non-ML Control,python/ruff-ecosystem/ruff_ecosystem/check.py,176,WORKAROUND,Design Debt,P3_Model_Development,# which is a workaround for if `len(rule_changes.rule_codes()) == 0`,Code Debt,3,"The code contains a workaround for a specific edge case, indicating a potential improvement in code quality and maintainability.",False,10
pydantic/pydantic,Non-ML Control,pydantic/functional_validators.py,615,NOQA,Test Debt,P3_Model_Development,def __call__(  # noqa: D102,Code Debt,2,The use of noqa comment is a code debt as it can make the codebase harder to maintain and understand in the long run.,False,11
aio-libs/aiohttp,Non-ML Control,aiohttp/streams.py,439,TODO,Requirement Debt,P3_Model_Development,# TODO: should be `if` instead of `while`,Code Debt,3,The use of a while loop instead of an if statement may indicate a lack of consideration for code readability and maintainability.,False,12
ipython/ipython,Non-ML Control,tests/test_display.py,183,TEMP,Design Debt,P3_Model_Development,tf = NamedTemporaryFile(dir=td),Test Debt,3,The use of a temporary file for testing purposes may indicate a lack of proper testing setup or mocking in the code.,False,13
astral-sh/ruff,Non-ML Control,scripts/add_rule.py,119,TODO,Requirement Debt,P3_Model_Development,"format!(""TODO: write message: {{}}"", todo!(""implement message""))",Code Debt,3,"The code contains a TODO comment indicating a missing implementation, which is a code-level issue.",False,14
pytest-dev/pytest,Non-ML Control,bench/unit_test.py,3,NOQA,Test Debt,P3_Model_Development,from unittest import TestCase  # noqa: F401,Code Debt,3,The use of noqa comment is a code debt as it can lead to inconsistent code formatting and make the codebase harder to maintain.,False,15
saltstack/salt,Non-ML Control,salt/minion.py,3876,TODO,Requirement Debt,P3_Model_Development,# TODO: actually listen to the return and change period,Code Debt,3,The TODO comment indicates a missing implementation detail in the code.,False,16
amoffat/sh,Non-ML Control,tests/sh_test.py,836,NOQA,Test Debt,P3_Model_Development,"num_args = int(python(py.name, l=""one two three""))  # noqa: E741",Code Debt,3,"The use of noqa comment is not following the standard Python style guide, which may lead to inconsistent code formatting.",False,17
psf/black,Non-ML Control,tests/test_black.py,2050,TEMP,Design Debt,P3_Model_Development,with TemporaryDirectory() as workspace:,Test Debt,3,"The use of TEMP keyword and TemporaryDirectory() suggests a temporary or workaround solution in the test code, indicating potential test debt.",False,18
amoffat/sh,Non-ML Control,sh.py,1451,TODO,Requirement Debt,P3_Model_Development,"# 1.* version.  TODO remove this in 2.0, as ""ok_code"", if specified,",Code Debt,3,"The TODO comment indicates a temporary solution that should be removed in a future version, suggesting a code smell or a piece of code that is not maintainable.",False,19
amoffat/sh,Non-ML Control,tests/sh_test.py,147,TEMP,Design Debt,P3_Model_Development,"""""""creates a temporary test file that lives on disk, on which we can run",Code Debt,3,The use of a temporary test file on disk may lead to file system clutter and make it harder to manage test data.,False,20
python/mypy,Non-ML Control,misc/profile_check.py,79,TODO,Requirement Debt,P3_Model_Development,# TODO: How to make this work on other platforms?,Code Debt,3,"The TODO comment indicates a potential issue with code portability across platforms, which could lead to maintenance and scalability problems.",False,21
celery/celery,Non-ML Control,celery/app/base.py,236,XXX,Design Debt,P3_Model_Development,# XXX will not show finalized configuration,Configuration Debt,3,"The comment suggests that the configuration is not finalized, indicating a potential issue with the configuration management.",False,22
davidhalter/jedi,Non-ML Control,jedi/api/classes.py,181,TODO,Requirement Debt,P3_Model_Development,# TODO move this to their respective names.,Code Debt,2,The TODO comment suggests a refactoring opportunity to improve code organization.,False,23
amoffat/sh,Non-ML Control,tests/sh_test.py,709,XXX,Design Debt,P3_Model_Development,"self.assertRaises(exc, ls, _env=""XXX"")",Test Debt,3,The use of XXX as a hardcoded environment variable in a test case may not be flexible or maintainable.,False,24
astral-sh/ruff,Non-ML Control,crates/ruff_benchmark/resources/large/dataset.py,920,TODO,Requirement Debt,P1_Data_Collection,with pytest.warns(FutureWarning):  # TODO: remove keepdims in 1.5.0,Code Debt,3,"The TODO comment indicates a temporary fix that should be removed in a future version, suggesting a code smell or a piece of code that needs refactoring.",False,25
pypa/build,Non-ML Control,src/build/env.py,362,TEMP,Design Debt,P3_Model_Development,with tempfile.NamedTemporaryFile(,Code Debt,3,The use of tempfile.NamedTemporaryFile in a build environment may lead to code complexity and potential issues with temporary file management.,False,26
jupyterlab/jupyterlab,Non-ML Control,examples/test_examples.py,58,NOQA,Test Debt,P3_Model_Development,"subprocess.check_call([sys.executable, runner, path], cwd=cwd)  # noqa S603",Code Debt,3,"The use of noqa comment suggests a deliberate suppression of a Pylint warning, indicating a potential code debt issue.",False,27
aio-libs/aiohttp,Non-ML Control,aiohttp/test_utils.py,197,TODO,Requirement Debt,P3_Model_Development,# TODO(PY311): Use Unpack to specify Server kwargs.,Code Debt,2,"The TODO comment indicates a need to refactor code to be compatible with Python 3.11, which is a minor code improvement.",False,28
pydantic/pydantic,Non-ML Control,pydantic/dataclasses.py,270,TODO,Requirement Debt,P3_Model_Development,"# TODO `parent_namespace` is currently None, but we could do the same thing as Pydantic models:",Code Debt,3,"The TODO comment indicates a potential improvement to the code, specifically handling the `parent_namespace` variable.",False,29
pypa/build,Non-ML Control,tests/test_main.py,401,TEMP,Design Debt,P3_Model_Development,"os.path.join('temp-sdist-dir', 'demo-1.0.0'),",Code Debt,3,The use of hardcoded string 'temp-sdist-dir' and 'demo-1.0.0' in the file path may lead to maintenance issues if the directory structure changes.,False,30
sqlalchemy/sqlalchemy,Non-ML Control,test/requirements.py,724,TEMP,Design Debt,P3_Model_Development,"""""""target dialect supports listing of temporary table names""""""",Documentation Debt,2,The comment in the code is outdated and does not accurately reflect the current functionality.,False,31
jupyterlab/jupyterlab,Non-ML Control,jupyterlab/extensions/manager.py,75,BUG,Defect Debt,P3_Model_Development,bug_tracker_url: [optional] Package bug tracker URL - default None,Code Debt,3,"The bug_tracker_url parameter is optional and has a default value of None, which may lead to inconsistent or missing bug tracking information.",False,32
readthedocs/readthedocs.org,Non-ML Control,readthedocs/wsgi.py,11,NOQA,Test Debt,P3_Model_Development,from django.core.wsgi import get_wsgi_application  # noqa,Code Debt,2,The use of noqa comment is a code debt as it can lead to inconsistent code formatting and make the codebase harder to maintain.,False,33
