original_index,repo,category,keyword,comment,file_path,is_genuine_satd,debt_category,severity,severity_reason,is_new_category,new_category_name,ml_pipeline_stage,model_used,classified_at
0,,Deep Learning,NOQA,,api_gen.py,True,Code Debt,3,Ignoring potential linting issues may lead to code quality degradation,False,,General,llama-3.1-8b-instant,2026-05-09T04:54:58.012022
1,,Deep Learning,TEMP,,api_gen.py,True,Code Debt,3,Temporary solution or workaround used in the code,False,,General,llama-3.1-8b-instant,2026-05-09T04:54:58.706191
2,,Deep Learning,NOQA,,conftest.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:54:59.498875
3,,Deep Learning,NOQA,,conftest.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:00.275271
4,,Deep Learning,NOQA,,conftest.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:01.195829
5,,Deep Learning,NOQA,,examples/demo_custom_jax_workflow.py,True,Code Debt,2,The presence of the NOQA comment may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:01.908150
6,,Deep Learning,NOQA,,examples/demo_custom_tf_workflow.py,True,Code Debt,3,Ignoring potential linting issues with NOQA comment,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:02.684960
7,,Deep Learning,NOQA,,examples/demo_custom_torch_workflow.py,True,Code Debt,2,The presence of the NOQA keyword may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:03.499825
8,,Deep Learning,NOQA,,examples/demo_torch_multi_gpu.py,True,Code Debt,2,The presence of the NOQA keyword suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:04.316462
9,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA comment may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:05.214171
10,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of NOQA suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:05.946373
11,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of NOQA suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:06.647866
12,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Test Debt,3,The presence of NOQA suggests a potential issue with test code quality or adherence to coding standards.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:07.434177
13,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA comment may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:08.151024
14,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA comment may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:08.889377
15,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Test Debt,3,Ignoring test warnings can lead to undetected issues in the model visualization test.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:12.642186
16,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA keyword may indicate a code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:16.436157
17,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,3,Potential code quality issue due to NOQA comment,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:20.181738
18,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA comment suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:25.099159
19,,Deep Learning,NOQA,,integration_tests/model_visualization_test.py,True,Code Debt,2,The presence of the NOQA comment suggests a potential code debt related to code style or formatting.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:29.375505
20,,Deep Learning,TEMP,,integration_tests/pytorch_export_test.py,True,Inadequate Testing Debt,3,Temporary solution or workaround found in the code,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:32.359533
21,,Deep Learning,TEMP,,integration_tests/pytorch_export_test.py,True,Inadequate Testing Debt,3,Temporary solution or workaround in test code,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:36.253678
22,,Deep Learning,HACK,,keras/__init__.py,True,Code Debt,3,The presence of a HACK keyword in a code file indicates a potential issue with the code's maintainability or readability.,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:39.997074
23,,Deep Learning,NOQA,,keras/__init__.py,True,Code Debt,2,Ignoring linting rules may lead to inconsistent code quality,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:43.751928
24,,Deep Learning,NOQA,,keras/__init__.py,True,Code Debt,2,Ignoring potential linting issues with NOQA,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:47.674943
25,,Deep Learning,NOQA,,keras/__init__.py,True,Code Debt,2,Ignoring linting rules may lead to inconsistent code quality,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:51.439168
26,,Deep Learning,NOQA,,pip_build.py,True,Code Debt,3,Ignoring potential linting issues may lead to code quality degradation,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:55.292541
27,,Deep Learning,NOQA,,pip_build.py,True,Code Debt,3,Ignoring potential linting issues may lead to code quality degradation,False,,General,llama-3.1-8b-instant,2026-05-09T04:55:59.023918
28,,Deep Learning,TODO,,fastai/interpret.py,True,Code Debt,3,The presence of a TODO comment in the code indicates a potential issue or incomplete implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:02.905387
29,,Deep Learning,TEMP,,fastai/learner.py,True,Code Debt,3,Temporary workaround or hack in the codebase,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:06.760931
30,,Deep Learning,TEMP,,fastai/learner.py,True,Code Debt,3,Use of TEMP keyword may indicate a temporary or workaround solution in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:10.604507
31,,Deep Learning,WORKAROUND,,fastai/torch_basics.py,True,Model Stack Workaround Debt,3,The presence of a WORKAROUND comment indicates a potential workaround for a model stack issue.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:14.372096
32,,Deep Learning,BUG,,fastai/torch_core.py,True,Defect Debt,3,The presence of a BUG keyword indicates a defect in the code.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:19.103642
33,,Deep Learning,TODO,,fastai/torch_core.py,True,Code Debt,3,Potential bug or inefficiency in the code,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:22.819984
34,,Deep Learning,XXX,,fastai/torch_core.py,True,Code Debt,3,The presence of XXX in the code indicates a potential issue or incomplete implementation.,False,,General,llama-3.1-8b-instant,2026-05-09T04:56:26.542382
